Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,kappa_source,cycle_added,reference,label,sample_id,historical_split
0.74,0,0,0.26,0,0,0,0,21.35234394,3.935,model,0,[2],Fe0.740Ga0.260,C1_S1_045,train
0.69,0,0,0.14,0.16,0,0,0.01,14.7144,3.515,measured,1,This work,Fe0.69Ga0.14Al0.16Pt0.01,,
0.69,0,0,0.24,0.06,0,0,0.01,12.786,3.617,measured,1,This work,Fe0.69Ga0.24Al0.06Pt0.01,,
0.45,0,0.25,0.09,0.19,0,0,0.02,7.2964,0.051,measured,1,This work,Fe0.45Mn0.25Ga0.09Al0.19Pt0.02,,
0.46,0,0.24,0.16,0.12,0,0,0.02,9.859,0.176,measured,1,This work,Fe0.46Mn0.24Ga0.16Al0.12Pt0.02,,
0.7,0,0,0.03,0.26,0,0,0.01,10.8356,2.159,measured,1,This work,Fe0.70Ga0.03Al0.26Pt0.01,,
0.5,0,0.25,0.02,0.23,0,0,0,9.346,0.045,measured,1,This work,Fe0.50Mn0.25Ga0.02Al0.23,,
0.51,0.15,0.03,0.29,0,0,0.02,0,11.2582,2.604,measured,1,This work,Fe0.51Co0.15Mn0.03Ga0.29Ge0.02,,
0.59,0.05,0.05,0.29,0,0,0.02,0,9.5534,1.851,measured,1,This work,Fe0.59Co0.05Mn0.05Ga0.29Ge0.02,,
0.52,0.04,0.13,0.3,0,0,0.01,0,8.4114,0.336,measured,1,This work,Fe0.52Co0.04Mn0.13Ga0.30Ge0.01,,
0.06,0.5,0.13,0.29,0,0,0.02,0,12.049,1.426,measured,1,This work,Fe0.06Co0.50Mn0.13Ga0.29Ge0.02,,
0,0.6,0.09,0.3,0,0,0,0.01,25.48,1.034,measured,2,This work,Co0.60Mn0.09Ga0.30Pt0.01,,
0.1,0.59,0,0.29,0.01,0,0,0.01,12.1932,1.924,measured,2,This work,Fe0.10Co0.59Ga0.29Al0.01Pt0.01,,
0.74,0,0,0.24,0,0,0,0.02,14.9826,5.289,measured,2,This work,Fe0.74Ga0.24Pt0.02,,
0,0.59,0.17,0.24,0,0,0,0,19.0844,3.145,measured,2,This work,Co0.59Mn0.17Ga0.24,,
0.78,0.01,0,0.01,0.19,0,0,0.01,11.9444,3.018,measured,2,This work,Fe0.78Co0.01Ga0.01Al0.19Pt0.01,,
0.5,0,0.19,0.12,0.02,0,0,0.17,6.4084,0.059,measured,2,This work,Fe0.50Mn0.19Ga0.12Al0.02Pt0.17,,
0.46,0,0.23,0.03,0.04,0,0.01,0.23,10.8282,0.251,measured,2,This work,Fe0.46Mn0.23Ga0.03Al0.04Ge0.01Pt0.23,,
0.35,0.1,0.24,0,0.11,0,0.03,0.17,8.5858,0.006,measured,2,This work,Fe0.35Co0.10Mn0.24Al0.11Ge0.03Pt0.17,,
0.25,0.19,0.25,0,0.09,0,0.06,0.16,8.6528,0.024,measured,2,This work,Fe0.25Co0.19Mn0.25Al0.09Ge0.06Pt0.16,,
0,0.57,0.14,0.01,0.27,0.01,0,0,9.1302,2.518,measured,2,This work,Co0.57Mn0.14Ga0.01Al0.27Si0.01,,
0.73,0,0,0.19,0.08,0,0,0,14.2766,4.414,measured,3,This work,Fe0.73Ga0.19Al0.08,,
0.71,0,0,0.24,0.05,0,0,0,13.4628,3.973,measured,3,This work,Fe0.71Ga0.24Al0.05,,
0.75,0,0,0.13,0.12,0,0,0,15.043,5.403,measured,3,This work,Fe0.75Ga0.13Al0.12,,
0.75,0,0,0.21,0.03,0,0,0.01,15.8596,4.251,measured,3,This work,Fe0.75Ga0.21Al0.03Pt0.01,,
0.71,0,0,0.27,0.01,0,0,0.01,13.1678,2.404,measured,3,This work,Fe0.71Ga0.27Al0.01Pt0.01,,
