cycle,partition,seed,E_star,mae_kappa,mae_sane
1,2,2029,6,1.2807105963759957,0.7447762371434107
1,2,2030,105,1.13082909733057,0.7147242085470095
1,2,2031,52,1.6202941803137458,0.6350968428866731
1,2,2032,52,1.7186232141405335,0.5256339918076993
1,2,2033,42,1.4728681939840311,0.5659049522214467
1,2,2034,24,1.3722374416556615,0.7442191785739528
1,2,2035,186,1.858357637466655,0.37916762465404147
1,2,2036,26,1.5792599235806193,0.48296901025705874
1,2,2037,15,1.517304091677068,0.5355929342740112
1,2,2038,30,1.6194934464328823,0.8558833312408792
1,2,2039,23,1.0632929083539375,0.5395525243216092
1,2,2040,32,1.0915250585476555,0.5413970688647695
1,2,2041,18,1.4002472025487154,0.35136463452544486
1,2,2042,61,1.5018942864239215,0.5208304924352302
1,2,2043,71,2.075278030708432,0.3762423522439269
1,2,2044,33,1.272218846248255,0.9855919652597771
2,0,2025,38,1.5216623275148866,0.7231686331313103
2,0,2026,28,1.8233812340998643,0.5602806859856472
2,0,2027,94,1.8976204097077247,0.5748066947318614
2,0,2028,21,1.644609800127745,0.8313094554245473
2,0,2029,188,2.2617441587582223,0.34553501630201944
2,0,2030,35,1.8195314840027692,0.6972093770340086
2,0,2031,81,2.05799279902637,0.6210099561870097
2,0,2032,56,1.541202356562018,0.5921292463958264
2,0,2033,25,2.516279483543932,0.23749417880028495
2,0,2034,57,2.181475045782327,0.5557725368399173
2,0,2035,124,1.5398734466814994,0.8643392786931248
2,0,2036,22,1.9574604049831623,0.35402448659380886
2,0,2037,29,1.820155158685445,0.545339156962186
2,0,2038,41,1.69267180614233,0.35303949888087816
2,0,2039,44,2.0741094306337837,0.8197753794044257
2,0,2040,22,1.8783798362970352,0.40062829153202484
2,0,2041,74,1.6026031261718263,0.36267191862687465
2,0,2042,14,2.4697185059654716,0.48026612290292964
2,0,2043,24,1.6738394759467248,0.917004578044638
2,0,2044,27,2.2085538634908195,0.4696056877128781
2,1,2025,34,1.961494570509195,0.8421292533844709
2,1,2026,37,1.4528555303955077,0.8144133576497434
2,1,2027,25,1.4651688470238435,0.8739567337453366
2,1,2028,62,2.188050971833467,0.6225508924320341
2,1,2029,46,1.7533583272790907,0.6018043291464448
2,1,2030,39,1.4631835304272172,0.7108854763478042
2,1,2031,62,1.612804717683792,0.6972865269191564
2,1,2032,76,1.7746270940399171,0.809790720936656
2,1,2033,69,1.509286102079153,0.8660111326880753
2,1,2034,10,1.8448878299531337,0.9429138759717348
2,1,2035,17,2.4986395829349752,0.753221706931293
2,1,2036,13,1.967808012874126,1.0770409678786996
2,1,2037,103,1.6813961480528115,0.6668647222172469
2,1,2038,101,1.7376553032562139,0.8405782855197785
2,1,2039,27,2.1935583825695506,0.756054374140501
2,1,2040,10,1.8298731543755522,0.813133407306671
2,1,2041,57,1.2154404042676086,0.7424442606687546
2,1,2042,22,1.7413576200774308,0.6554536400258539
2,1,2043,47,2.486779666159749,0.7571453815370799
2,1,2044,6,1.6793803138065329,0.4863763164848088
2,2,2025,171,1.7820498628574608,0.4633357422851027
2,2,2026,12,2.4398280338472125,0.4383286196120083
2,2,2027,110,2.393963740020543,0.43301726832762366
2,2,2028,62,2.4616699988397945,0.4313770195409655
2,2,2029,125,2.760654630721509,0.48356076547354465
2,2,2030,95,2.97661670475185,0.5811075315311551
2,2,2031,41,3.2291790971700847,0.5688164065856485
2,2,2032,61,3.1157984613972896,0.7348798742782325
2,2,2033,99,3.00226524784863,0.5060465814009308
2,2,2034,82,3.192690351621806,0.5483590786732734
2,2,2035,177,2.3619203364700074,0.5969365476988255
2,2,2036,176,2.5925923971304297,0.4336562881827353
2,2,2037,63,2.9733961867205796,0.4198983327656983
2,2,2038,49,2.757642220955044,0.4194645580802113
2,2,2039,27,2.602573596385791,0.4310263193923979
2,2,2040,36,2.616546699155271,0.486220558032766
2,2,2041,21,2.6289941592235855,0.25659092521704735
2,2,2042,19,2.2625893301638955,0.3318399514067918
2,2,2043,85,3.5608748862838744,0.3819671765003353
2,2,2044,35,2.84967313796848,0.34438613937459894
3,0,2025,71,2.158394839214086,0.5778055805563926
3,0,2026,141,2.438878246193528,0.542016130208969
3,0,2027,33,2.645976119046211,0.6375254103958606
