historical_split,source_row_1based,Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,si_table_row,sample_id,si_composition,si_source,composition_L1_to_SI_normalized,kxx_difference_from_SI_rounded,S_ANE_difference_from_SI_rounded,composition_sum
test,8,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,23.2046,0.772,28,C1_S1_028,Co0.500Mn0.250Si0.250,This work,0.0,0.0045999999999999375,0.0020000000000000018,1.0
train,23,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,13.9832,0.623,29,C1_S1_029,Co0.500Mn0.250Al0.250,This work,0.0,0.0031999999999996476,0.0030000000000000027,1.0
test,9,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,8.5946,0.449,30,C1_S1_030,Fe0.250Co0.250Mn0.250Ga0.250,This work,0.0,0.0045999999999999375,-0.0010000000000000009,1.0
train,24,0.7375,0.0,0.0125,0.25,0.0,0.0,0.0,0.0,16.4972,4.935,31,C1_S1_031,Fe0.738Mn0.013Ga0.250,This work,0.0009740259740259674,-0.00280000000000058,-0.005000000000000782,1.0
train,25,0.725,0.0,0.025,0.25,0.0,0.0,0.0,0.0,14.891,4.312,32,C1_S1_032,Fe0.725Mn0.025Ga0.250,This work,0.0,0.0009999999999994458,0.002000000000000668,1.0
train,26,0.75,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,16.95027112,2.629,33,C1_S1_033,Fe0.750Al0.063Si0.188,[1],0.0014985014985014755,0.0002711200000007352,-0.0009999999999998899,1.0
train,27,0.75,0.0,0.0,0.0,0.1875,0.0625,0.0,0.0,14.42873606,2.972,34,C1_S1_034,Fe0.750Al0.188Si0.063,[1],0.0014985014985014755,-0.0012639399999994083,0.0019999999999997797,1.0
train,28,0.75,0.0,0.0,0.175,0.075,0.0,0.0,0.0,18.26661804,5.609,35,C1_S1_035,Fe0.750Ga0.175Al0.075,[1],0.0,-0.003381959999998685,-0.001000000000000334,1.0
train,29,0.75,0.0,0.0,0.1625,0.0875,0.0,0.0,0.0,18.57836634,5.69,36,C1_S1_036,Fe0.750Ga0.163Al0.088,[1],0.0014985014985015171,-0.0016336599999995371,0.0,1.0
train,30,0.75,0.0,0.0,0.15,0.1,0.0,0.0,0.0,18.83419328,5.598,37,C1_S1_037,Fe0.750Ga0.150Al0.100,[1],0.0,0.0041932800000026305,-0.0019999999999997797,1.0
train,31,0.75,0.0,0.0,0.1375,0.1125,0.0,0.0,0.0,18.5284091,5.673,38,C1_S1_038,Fe0.750Ga0.138Al0.113,[1],0.001498501498501531,-0.0015909000000000617,0.0030000000000001137,1.0
train,32,0.75,0.0,0.0,0.1,0.15,0.0,0.0,0.0,17.47668019,5.007,39,C1_S1_039,Fe0.750Ga0.100Al0.150,[1],0.0,-0.0033198100000007003,-0.0030000000000001137,1.0
train,33,0.7875,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,20.04246474,4.925,40,C1_S1_040,Fe0.788Ga0.213,[2],0.0005744255744255522,0.0024647400000006314,-0.004999999999999893,1.0
train,34,0.78,0.0,0.0,0.22,0.0,0.0,0.0,0.0,21.03977641,5.278,41,C1_S1_041,Fe0.780Ga0.220,[2],0.0,-0.0002235899999973867,-0.002000000000000668,1.0
train,35,0.7725,0.0,0.0,0.2275,0.0,0.0,0.0,0.0,22.47168445,5.396,42,C1_S1_042,Fe0.773Ga0.228,[2],0.0005444555444555355,0.001684450000002613,-0.004000000000000448,1.0
train,36,0.7675,0.0,0.0,0.2325,0.0,0.0,0.0,0.0,22.61136813,5.144,43,C1_S1_043,Fe0.768Ga0.233,[2],0.0005344655344655669,0.0013681299999994678,0.004000000000000448,1.0
train,37,0.755,0.0,0.0,0.245,0.0,0.0,0.0,0.0,20.39716829,4.506,44,C1_S1_044,Fe0.755Ga0.245,[2],0.0,-0.0028317099999988216,-0.0039999999999995595,1.0
train,38,0.74,0.0,0.0,0.26,0.0,0.0,0.0,0.0,21.35234394,3.935,45,C1_S1_045,Fe0.740Ga0.260,[2],0.0,0.002343939999999378,-0.004999999999999893,1.0
