root_seed,outer_fold,delta_scaled_mse_mean_aug_minus_real,delta_scaled_mae_mean_aug_minus_real,delta_mae_kxx_aug_minus_real,delta_mae_S_ANE_aug_minus_real
42,1,0.0012272095542825018,0.011568330913261898,0.17788231067657456,0.08878592848777767
42,2,-0.043437784673465,-0.09121402793832929,-0.7304145396791291,-0.7583067859922137
42,3,-0.004061490742616913,0.001367937824661214,0.15602552063790576,-0.054088015390123645
42,5,0.010121812515383698,0.023071582480654412,0.5478558109828404,0.12918983186994282
2025,1,-0.0172220413171799,-0.02854586784484689,-0.2522037602838134,-0.21510387587547297
2025,2,0.0019672568705935995,0.002130589949844802,-0.1933351244245256,0.06797712421417224
2025,3,0.0250836120593601,0.08191124241224569,2.769938652692522,0.25411106317792626
2025,4,-0.0001506579725373998,0.001519211941408402,-0.2711267434256417,0.08191455445970797
2025,5,0.0024699076866713937,0.0237325714271808,0.5033476693289622,0.1478204965591432
314159,1,0.004253478851632499,-0.0069076840557247,-0.6895977246463016,0.09164979088306457
314159,2,0.005113629187058998,0.029025563271083604,0.13463015572684212,0.3000603758948191
314159,3,0.005030465958715799,0.052239484515338275,0.21235181209019238,0.5474685794966563
314159,4,0.007575178569893,0.0391063304513951,0.3162152891838723,0.3708391120093209
314159,5,0.06593235213561979,0.014869054144550004,0.534184702984795,-0.07556328688757769
