strategy,budget,best_new_fom,best_overall_fom,improves_initial_best,best_new_kappa,best_new_S_ANE,hypervolume,hypervolume_gain_over_initial,final_top5_recovered,percentile_vs_random_best_new_fom,random_probability_best_at_least_as_high,percentile_vs_random_hypervolume,random_probability_hypervolume_at_least_as_high
active_learning_observed,10,0.2828875332394807,0.3116825290810931,False,12.786,3.617,0.48861503031418496,0.026402649102056475,1,0.108385,0.943525,0.4052,0.59485
active_learning_observed,20,0.3530094910095711,0.3530094910095711,True,14.9826,5.289,0.5168821520547967,0.05466977084266822,2,0.19996,0.967125,0.31025,0.6902
active_learning_observed,25,0.3591703782490195,0.3591703782490195,True,15.043,5.403,0.5202439295503848,0.0580315483382563,5,1.0,1.0,1.0,1.0
diversity_only_raw_composition,10,0.27578804407351426,0.3116825290810931,False,9.1302,2.518,0.5070233109458118,0.04481092973368328,0,0.056475,0.971505,0.6178,0.3839
diversity_only_raw_composition,20,0.2828875332394807,0.3116825290810931,False,12.786,3.617,0.5113038698981296,0.049091488686001106,1,0.00046,0.99997,0.2022,0.7982
diversity_only_raw_composition,25,0.3591703782490195,0.3591703782490195,True,15.043,5.403,0.5202439295503848,0.0580315483382563,5,1.0,1.0,1.0,1.0
diversity_only_standardized_features,10,0.2526707076119353,0.3116825290810931,False,11.9444,3.018,0.4864795980620493,0.024267216849920836,0,0.013525,0.993975,0.3677,0.6325
diversity_only_standardized_features,20,0.3530094910095711,0.3530094910095711,True,14.9826,5.289,0.5168821520547966,0.05466977084266811,2,0.19996,0.967125,0.3098,0.69205
diversity_only_standardized_features,25,0.3591703782490195,0.3591703782490195,True,15.043,5.403,0.5202439295503848,0.0580315483382563,5,1.0,1.0,1.0,1.0
