element,PC1,PC2
Fe,-0.3747725713683017,-0.5270349078287372
Co,0.18640479230144538,0.6256319693710736
Mn,0.5431962838436679,-0.07594049290469483
Ga,-0.4297668968149536,0.3648872881182636
Al,0.11513677932585163,-0.15633044254145229
Si,0.218144110683535,0.27296828552900254
Ge,0.32874405410769425,-0.12373404423165522
Pt,0.41966772652530443,-0.27865417180826046
