Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,sample_id,historical_split,kappa_source,cycle_added,reference,label
0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,13.9832,0.623,C1_S1_029,train,measured,0,This work,Co0.500Mn0.250Al0.250
0.7375,0.0,0.0125,0.25,0.0,0.0,0.0,0.0,16.4972,4.935,C1_S1_031,train,measured,0,This work,Fe0.738Mn0.013Ga0.250
0.725,0.0,0.025,0.25,0.0,0.0,0.0,0.0,14.891,4.312,C1_S1_032,train,measured,0,This work,Fe0.725Mn0.025Ga0.250
0.75,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,16.95027112,2.629,C1_S1_033,train,model,0,[1],Fe0.750Al0.063Si0.188
0.75,0.0,0.0,0.0,0.1875,0.0625,0.0,0.0,14.42873606,2.972,C1_S1_034,train,model,0,[1],Fe0.750Al0.188Si0.063
0.75,0.0,0.0,0.175,0.075,0.0,0.0,0.0,18.26661804,5.609,C1_S1_035,train,model,0,[1],Fe0.750Ga0.175Al0.075
0.75,0.0,0.0,0.1625,0.0875,0.0,0.0,0.0,18.57836634,5.69,C1_S1_036,train,model,0,[1],Fe0.750Ga0.163Al0.088
0.75,0.0,0.0,0.15,0.1,0.0,0.0,0.0,18.83419328,5.598,C1_S1_037,train,model,0,[1],Fe0.750Ga0.150Al0.100
0.75,0.0,0.0,0.1375,0.1125,0.0,0.0,0.0,18.5284091,5.673,C1_S1_038,train,model,0,[1],Fe0.750Ga0.138Al0.113
0.75,0.0,0.0,0.1,0.15,0.0,0.0,0.0,17.47668019,5.007,C1_S1_039,train,model,0,[1],Fe0.750Ga0.100Al0.150
0.7875,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,20.04246474,4.925,C1_S1_040,train,model,0,[2],Fe0.788Ga0.213
0.78,0.0,0.0,0.22,0.0,0.0,0.0,0.0,21.03977641,5.278,C1_S1_041,train,model,0,[2],Fe0.780Ga0.220
0.7725,0.0,0.0,0.2275,0.0,0.0,0.0,0.0,22.47168445,5.396,C1_S1_042,train,model,0,[2],Fe0.773Ga0.228
0.7675,0.0,0.0,0.2325,0.0,0.0,0.0,0.0,22.61136813,5.144,C1_S1_043,train,model,0,[2],Fe0.768Ga0.233
0.74,0.0,0.0,0.26,0.0,0.0,0.0,0.0,21.35234394,3.935,C1_S1_045,train,model,0,[2],Fe0.740Ga0.260
0.69,0.0,0.0,0.14,0.16,0.0,0.0,0.01,14.7144,3.515,,train,measured,1,This work,Fe0.69Ga0.14Al0.16Pt0.01
0.45,0.0,0.25,0.09,0.19,0.0,0.0,0.02,7.2964,0.051,,train,measured,1,This work,Fe0.45Mn0.25Ga0.09Al0.19Pt0.02
0.5,0.0,0.25,0.02,0.23,0.0,0.0,0.0,9.346,0.045,,train,measured,1,This work,Fe0.50Mn0.25Ga0.02Al0.23
0.59,0.05,0.05,0.29,0.0,0.0,0.02,0.0,9.5534,1.851,,train,measured,1,This work,Fe0.59Co0.05Mn0.05Ga0.29Ge0.02
0.52,0.04,0.13,0.3,0.0,0.0,0.01,0.0,8.4114,0.336,,train,measured,1,This work,Fe0.52Co0.04Mn0.13Ga0.30Ge0.01
0.06,0.5,0.13,0.29,0.0,0.0,0.02,0.0,12.049,1.426,,train,measured,1,This work,Fe0.06Co0.50Mn0.13Ga0.29Ge0.02
